no,brand,user,rate,review
1,canon,M***m,5,Produk sesuai deskripsi packingnya aman bergaransi resmi
2,canon,arum_permata,5,"Beli barang mahal mah harus di Officialnya , ud pasti garansi aman , barang jg good condition ?? Thankyou Canon , thankyou shopeelater"
3,canon,j*****5,5,"Top banget baru kemarin beli dah sampek pengiriman nya cepet, respon penjualnya juga cepet dapet kartu garansi cm gk diisi.. Lengkap top deh pokoknya kameranya juga bagus buat pemula. Pokoknya keren deh saya suka ?"
4,canon,pepen101010,3,"Sempet ada kendala dipengiriman chat admin malah disuruh sabar , akhirnya telfon ekspedisinya sendiri akhirnya dateng"
5,canon,k*****s,4,"pembeli yang lain pada dapat kartu memori, tapi saya tidak, kata admin memang tidak dapat lagi skrg, saya belinya flassale sic ?? 4 jutaan hampir sama dg harga pas diskon biasa, kecewa sy kira semua dpt, jd ga beli kartu memori dl, akhirnya kamera blm bisa lgsg dgnkan krn musti online lg nunggu Krtu"
6,canon,khaidirali07,4,"Harus selalu mengecek pesanan pelanggan agar tidak mengulang pertanyaan ,apakah sudah order atau belum Terima kasih."
7,nikon,wkriswinarto,5,Mantull.. Pas pengiriman kurang update tracking.. Tp tepat wakt
8,nikon,v*****w,2,"kecewa, pelayanan kurang memuaskan, ada produk yg salah kirim, kesepakan awal ongkir dari pembeli ke penjual ditanggung pembeli, dan ongkir dari penjual ke pembeli ditanggung penjual, tetapi setelah diretur malah direfund, tidak sesuai kesepakatan awal, sehingga saya rugi di ongkir."
9,nikon,amaliacoffe_official,5,"Barang ORI, ada kartu garansi, paket lengkap, pengemasan ok(bubble wrap tebal) hnya penyok dikit di kardus, seller dan kurir ramah. Saran sedikit sih, buat jasa pengirimnya klo barang elektronik, mohon diutamakan ya.. overall sangat puas."
10,nikon,vanisyanuridhautami,3,"Kamera nya bagus ga ada masalah, cuma sayang dikasih charger nya yang rusak. Sedikit saran untuk seller agar mengecek semua komponen dengan baik jangan sampai konsumen kecewa hanya karna masalah seperti ini??"
11,nikon,kenkensetiawan,4,"Saat beli seller udah ngingetin kalau view screen ada vignette tetapi tidak mempengaruhi hasil foto. Hasil foto bagus, tidak terlalu jelek amat untuk di kelas d3100. Untuk pembelian full dengan lensa, dpt tas strap, dan memory card."
12,nikon,b*****n,4,"Kameranya uda sampai, kekurangannya ada pada layar yang Vignet tinggi dan satu garis, cma hasil fotonya tetap normal, bodynya masih oke lah, dan semoga bisa awet sama saya."
13,sony,ferdimk12,5,Sangat puas dgn barangnya kaya bukan seken tp seperti baru dan berpungsi. Pengiriman cepat dapet bonus tas ga mengecewakan toko ini
14,sony,widyayaacucuo,5,"Ok. Bagus. Lengkap. Sesuai. Joss kameranya. Mantap. Pesan besok sampai. Terimakasih Shopee, seller, kurir langganan ????"
15,sony,komangtirta,5,Gambar pertama adalah foto kamera yg mulus no minus. Gambar yg kedua adalah hasil.jepretan uji coba pertama . yah sangat bagus lah dengan harga yg murah. Thanks
16,sony,irmansyah26,5,"Oke bgt cameranya baguss seperti baru thanks seller ,respon cepat ,seller ramah semoga awet cameranya"
17,sony,ryan140790,3,Mulus terawat ya kak.g da lecet layar sama lensa...aman. Cuman lain kali mohon dicek kembali barang yg mau dikirim tutup view finder lepas...untung masih bisa di lem dengan super hati hati...senang tapi kecewa juga. Kok bisa g di cek...atau ada unsur kesengajaan...
18,sony,ajengfatamaia,5,"Sejauh ini produk ok, aman. Mudah2an kedepannya juga aman. Thanks juga kurirnya yg sabar karena alamat rumah saya yg rumit. Tapi tetep sampai dengan aman dan baik."
19,canon,sandy,3,produks nya oke. . . pengiriman nya lelet gara gara siCepat. 
20,canon,a***p,4,mantab
21,canon,m***d,5,mantap barangnya walau sya minta tukar barang pelayanan nya ramah bgt
22,fujifilm,d*****t,5,"Seller ramah, walau produk yang di pesan lain..."
23,fujifilm,r*****n,3,sukses
24,nikon,apritaaryani,3,"Adapter memory nya tidak ada, buku fotografi tidak ada. Sedikit kecewa karena gak bisa langsung dipakai. Kalau barang mulus aja"
